ID,StoreName,City,Latitude,Longitude,GoogleMapsLink
store_002589,"Hotspot- BIJNOR-DATTIYANA ROAD","Bijnor",29.1377057,78.2623239,https://www.google.com/maps?q=29.1377057,78.2623239
store_002576,"Hotspot- RAJASTHAN - BIKANER LUNKARANSAR","Bikaner",28.0186279,73.31362920000001,https://www.google.com/maps?q=28.0186279,73.31362920000001
store_002591,"Hotspot- GHAZIABAD - VAISHALI","Ghaziabad",28.6435757,77.3398648,https://www.google.com/maps?q=28.6435757,77.3398648
store_002590,"Hotspot- UTTAR PRADESH - MUZAFFARNAGAR","Muzaffarnagar",29.4708107,77.6966456,https://www.google.com/maps?q=29.4708107,77.6966456
store_002602,"Hotspot- KOLKATA- ELLIOT ROAD","Kolkata",22.5506765,88.3620407,https://www.google.com/maps?q=22.5506765,88.3620407
store_002601,"Hotspot- KOLKATA-ESPLANADE-2","Kolkata",22.5622804,88.3523637,https://www.google.com/maps?q=22.5622804,88.3523637
store_002603,"Hotspot- BARDHAMAN- BEGUNIA","Bardhaman",23.7342856,86.8143564,https://www.google.com/maps?q=23.7342856,86.8143564
store_002604,"Hotspot- DELHI - NEW SHAHADRA","New Delhi",28.6817204,77.28566579999999,https://www.google.com/maps?q=28.6817204,77.28566579999999
store_002605,"Hotspot- DELHI-NEW KALKA JI","New Delhi",28.5423564,77.2536271,https://www.google.com/maps?q=28.5423564,77.2536271
store_002612,"Hotspot- HARYANA-PANCHKULA SEC 20","Panchkula",30.6711879,76.85551989999999,https://www.google.com/maps?q=30.6711879,76.85551989999999
store_002613,"Hotspot- PUNJAB-ABOHAR","Abohar",29.9219898,73.8726949,https://www.google.com/maps?q=29.9219898,73.8726949
store_002606,"Hotspot- GHAZIABAD- NEW GT ROAD","Ghaziabad",28.6556908,77.4355479,https://www.google.com/maps?q=28.6556908,77.4355479
store_002614,"Hotspot- HARYANA-SONIPAT","Sonipat",28.9935817,77.02064109999999,https://www.google.com/maps?q=28.9935817,77.02064109999999
store_002617,"Hotspot- RAJASTHAN-JAGATPURA JAIPUR","Jaipur",26.8956554,75.8301089,https://www.google.com/maps?q=26.8956554,75.8301089
store_002608,"Hotspot- DELHI - JAITPUR","New Delhi",28.5047877,77.3206648,https://www.google.com/maps?q=28.5047877,77.3206648
store_002607,"Hotspot- PUNJAB - BARNALA","Barnala",30.6711879,76.85551989999999,https://www.google.com/maps?q=30.6711879,76.85551989999999
store_002616,"Hotspot- HARYANA-KURUKSHETRA","Kurukshetra",29.9734556,76.8537284,https://www.google.com/maps?q=29.9734556,76.8537284
store_002615,"Hotspot- HARYANA-ROHTAK","Rohtak",28.6823448,77.2027502,https://www.google.com/maps?q=28.6823448,77.2027502
store_002611,"Hotspot- PUNJAB - LUDHIANA MUNDIAN KALAN","Ludhiana",30.8998216,75.9190728,https://www.google.com/maps?q=30.8998216,75.9190728
store_002609,"Hotspot- HIMACHAL PRADESH - BADDI","Baddi",30.9341445,76.8000316,https://www.google.com/maps?q=30.9341445,76.8000316
store_002610,"Hotspot- UP-HASANPUR","Amroha",28.572176,77.3240682,https://www.google.com/maps?q=28.572176,77.3240682
store_003496,"Hotspot - Moujpur","Delhi",28.6900409,77.2773667,https://www.google.com/maps?q=28.6900409,77.2773667
