Store ID,Store Name,City,Latitude,Longitude,Google Maps Link
store_003491,Snow Air Conditioner (Retail),Delhi,28.5710809,77.22550489999999,"https://www.google.com/maps?q=28.5710809,77.22550489999999"
store_003492,Radhey Enterprise (Retail),Delhi,28.657268,77.234146,"https://www.google.com/maps?q=28.657268,77.234146"
store_003500,Kalka Enterprises (Retail),Faridabad,28.5005885,77.32229389999999,"https://www.google.com/maps?q=28.5005885,77.32229389999999"
store_003493,Mtk Electronics (Retail),Delhi,28.6894466,77.28599129999999,"https://www.google.com/maps?q=28.6894466,77.28599129999999"
store_003497,Gupta Electro Word,Delhi,28.677296,77.28914619999999,"https://www.google.com/maps?q=28.677296,77.28914619999999"
store_003494,Jain Electronic-Rohtash nagar (Retail),Delhi,28.6803845,77.2869291,"https://www.google.com/maps?q=28.6803845,77.2869291"
store_003495,Gupta Electro Word (Retail),Delhi,28.677296,77.28914619999999,"https://www.google.com/maps?q=28.677296,77.28914619999999"
store_003501,Light and Sound,Delhi,28.6579605,77.2844336,"https://www.google.com/maps?q=28.6579605,77.2844336"
store_003502,Prince refergeation,Lucknow,26.8504056,81.02223819999999,"https://www.google.com/maps?q=26.8504056,81.02223819999999"
store_003505,SR enterprise,Lucknow,26.8714373,80.9735106,"https://www.google.com/maps?q=26.8714373,80.9735106"
store_003503,Climb Service,Lucknow,26.8361498,80.88457420000002,"https://www.google.com/maps?q=26.8361498,80.88457420000002"
store_003506,Day Dreamer,Lucknow,26.7976389,80.89761659999999,"https://www.google.com/maps?q=26.7976389,80.89761659999999"
store_003511,Shadab electronics,Lucknow,26.9045196,80.933403,"https://www.google.com/maps?q=26.9045196,80.933403"
store_003508,Sateesh electronics,Lucknow,26.872727,80.890545,"https://www.google.com/maps?q=26.872727,80.890545"
store_003507,Golden electronics,Lucknow,26.8711945,80.8996264,"https://www.google.com/maps?q=26.8711945,80.8996264"
store_003512,ASP - Depali Enterprise,Delhi,28.65463219999999,77.1194581,"https://www.google.com/maps?q=28.65463219999999,77.1194581"
store_003513,New Rhtym ( Retail ),Noida,28.5701426,77.3249538,"https://www.google.com/maps?q=28.5701426,77.3249538"
store_003516,GOLDEN HITACHI HOME,Kolkata,22.5846499,88.3772212,"https://www.google.com/maps?q=22.5846499,88.3772212"
store_003515,Golden refrigeration HO,Kolkata,22.5846499,88.3772212,"https://www.google.com/maps?q=22.5846499,88.3772212"
store_003517,GOLDAR AIR-CONDITION ASP,Kolkata,22.5846499,88.3772212,"https://www.google.com/maps?q=22.5846499,88.3772212"
store_003518,Cooling Zone,Noida,28.522323,77.38639289999999,"https://www.google.com/maps?q=28.522323,77.38639289999999"
store_003524,HO ( Salt Lake ),Kolkata,22.5881164,88.4082462,"https://www.google.com/maps?q=22.5881164,88.4082462"
store_003528,Refrico,Lucknow,26.8445626,80.9353651,"https://www.google.com/maps?q=26.8445626,80.9353651"
store_003535,SADGURU ENTERPRISES,Ahmednagar,19.0349561,74.7196757,"https://www.google.com/maps?q=19.0349561,74.7196757"
store_003548,Sanjay electronics,Delhi,28.6467445,77.2839121,"https://www.google.com/maps?q=28.6467445,77.2839121"
store_003549,Anand electronics,Delhi,28.5353212,77.2602816,"https://www.google.com/maps?q=28.5353212,77.2602816"
store_003533,Air Corp Engineering,Pune,28.4892807,77.0657955,"https://www.google.com/maps?q=28.4892807,77.0657955"
store_003532,CNP AIR FLOW SOLUTION,Pune,18.4614367,73.8270342,"https://www.google.com/maps?q=18.4614367,73.8270342"
store_003551,Mahi Traders,Faridabad,28.4116183,77.3352326,"https://www.google.com/maps?q=28.4116183,77.3352326"
store_003552,Fine Electronics,Faridabad,28.3392731,77.3209049,"https://www.google.com/maps?q=28.3392731,77.3209049"
store_003554,Kolkata Cooling Santoshpur Botkala,Kolkata,22.4958135,88.38026669999999,"https://www.google.com/maps?q=22.4958135,88.38026669999999"
store_003556,The Heritage Asp Centre Rajbadi Uttarpada,Kolkata,22.6640499,88.3456527,"https://www.google.com/maps?q=22.6640499,88.3456527"
store_003555,J P Enterprise Jamuna Nagar,Kolkata,22.4484448,88.4563647,"https://www.google.com/maps?q=22.4484448,88.4563647"
store_003553,Cool Care Shyam Bazar,Kolkata,22.5655254,88.35666289999999,"https://www.google.com/maps?q=22.5655254,88.35666289999999"
store_003562,Coolcare Air conditioning,Delhi,28.6757161,77.1990734,"https://www.google.com/maps?q=28.6757161,77.1990734"
store_003560,INITIATIVE DATA SYSTEMS,Lucknow,26.9018828,80.955153,"https://www.google.com/maps?q=26.9018828,80.955153"
